Index Refs Address            Size       Wired      Name (Version) UUID <Linked Against>
   55    3 0xffffff8002f00000 0x1000     0x1000     com.apple.iokit.IOSMBusFamily (1.1) 2D0607F4-96F1-3D3F-BF7B-E00984DFBA9E <7 6 3>
   56    0 0xffffff80013f7000 0x6000     0x6000     com.apple.driver.AppleACPIEC (6.1) 91278068-1E8B-3805-B2B0-33FF91B32865 <55 54 45 18 15 9 8 7 6 3 1>
   57    0 0xffffff8001a6a000 0x3000     0x3000     com.apple.driver.AppleSMBIOS (2.1) 713A23C0-18B5-30DA-B792-1029093BC2EC <9 6 3>
   58    0 0xffffff8001a8c000 0x4000     0x4000     com.apple.driver.AppleSMCRTC (1.0) 3B9DF51D-382E-3A40-8C45-799B4DAF9764 <17 15 9 7 6 3 1>
   59    1 0xffffff80017ae000 0x2000     0x2000     com.apple.driver.AppleEFIRuntime (2.1) A3297704-8ACA-3C66-9122-C4DDEBB9545C <9 8 7 6 3>
   60    0 0xffffff8001a9d000 0x14000    0x14000    com.apple.driver.AppleSmartBatteryManager (161.0.0) C21982F0-D9CD-3260-BADE-EA62F996A83D <55 17 15 7 6 3 1>
   61    0 0xffffff80013f0000 0x3000     0x3000     com.apple.driver.AppleACPIButtons (6.1) 6A68D568-B54F-3DB9-85F4-1737362495A2 <54 45 18 15 9 8 7 6 3 1>
   62    1 0xffffff80017b2000 0xa000     0xa000     com.apple.driver.AppleEFINVRAM (2.1) 19FF0662-D6A1-3A6A-8A08-F13440767F2E <59 9 8 7 6 3 1>
   63    1 0xffffff8003367000 0x4f000    0x4f000    com.apple.driver.usb.AppleUSBXHCI (1.2) 2DD2DFF3-2184-3854-BA4B-BCCD3B6190E7 <24 22 15 9 8 7 6 3 1>
   64    0 0xffffff80033c0000 0x2a000    0x2a000    com.apple.driver.usb.AppleUSBXHCIPCI (1.2) D8D96945-BD50-3204-AFD3-9CF63A86BF13 <63 24 22 16 15 9 8 7 6 3 1>
   65    0 0xffffff8003464000 0x1000     0x1000     com.apple.private.KextAudit (1.0) F0AE0E49-0703-331D-9F8D-33B01151A216 <17 9 8 7 6 3>
   66    0 0xffffff800310b000 0x65000    0x65000    com.apple.iokit.IOUSBFamily (900.4.2) 5CD62B52-280C-373F-B6E3-E51A6ACA35CB <24 22 16 9 7 6 3 1>
   67    0 0xffffff80032bf000 0x3000     0x3000     com.apple.driver.usb.AppleUSBHostPacketFilter (1.0) 8B6A1697-0B14-36AC-902E-1805EE4E7B68 <24 22 9 8 7 6 3 1>
   68   10 0xffffff8003699000 0x1a000    0x1a000    com.apple.driver.corecapture (1.0.4) EA984810-BC3C-35BE-9AFF-744AEA7200F8 <9 8 7 6 3 1>
   69    2 0xffffff80019ff000 0xa000     0xa000     com.apple.driver.AppleOLYHALMac (1) E6A5ED64-819D-38C2-B438-E9DEE277EF83 <68 16 9 8 7 6 3 1>
   70    7 0xffffff8002b46000 0x12000    0x12000    com.apple.driver.IOImageLoader (1.0.0) A9C33819-737E-35DB-B288-08E3104BA0D0 <68 10 9 8 7 6 3 1>
   71    2 0xffffff8002e2e000 0x5000     0x5000     com.apple.driver.mDNSOffloadUserClient (1.0.1b8) 4E5FC131-4A8F-349D-97C4-3EBA9CAF7D8C <49 6 3 1>
   72    6 0xffffff8002f15000 0x49000    0x49000    com.apple.iokit.IOSkywalkFamily (1.0) 11D17F4E-0DFB-38DF-AFD8-8BA741635A01 <71 49 9 8 7 6 3 1>
